status,accident_index,accident_year,accident_reference,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,2022061178686,2022,061178686,1,90,Scooter - Electric Scooter
Unvalidated,2022061182946,2022,061182946,2,90,Scooter - Electric Scooter
Unvalidated,2022061183016,2022,061183016,2,90,Scooter - Electric Scooter
Unvalidated,2022061184998,2022,061184998,1,90,Scooter - Electric Scooter
Unvalidated,2022061186258,2022,061186258,1,90,Scooter - Electric Scooter
Unvalidated,2022061189510,2022,061189510,1,90,Scooter - Electric Scooter
Unvalidated,2022061200266,2022,061200266,1,90,Scooter - Electric Scooter
Unvalidated,2022061201403,2022,061201403,1,90,Scooter - Electric Scooter
Unvalidated,2022070303392,2022,070303392,1,90,Scooter - Electric Scooter
Unvalidated,2022070426733,2022,070426733,1,90,Scooter - Electric Scooter
Unvalidated,2022101136192,2022,101136192,2,90,Scooter - Electric Scooter
Unvalidated,2022101137868,2022,101137868,2,90,Scooter - Electric Scooter
Unvalidated,2022101138223,2022,101138223,2,90,Scooter - Electric Scooter
Unvalidated,2022101139514,2022,101139514,1,90,Scooter - Electric Scooter
Unvalidated,2022101143057,2022,101143057,1,90,Scooter - Electric Scooter
Unvalidated,2022101143803,2022,101143803,2,90,Scooter - Electric Scooter
Unvalidated,2022101151093,2022,101151093,1,90,Scooter - Electric Scooter
Unvalidated,2022101151098,2022,101151098,1,90,Scooter - Electric Scooter
Unvalidated,2022101154035,2022,101154035,1,90,Scooter - Electric Scooter
Unvalidated,2022101169756,2022,101169756,1,90,Scooter - Electric Scooter
Unvalidated,2022101188359,2022,101188359,2,90,Scooter - Electric Scooter
Unvalidated,2022101189649,2022,101189649,1,90,Scooter - Electric Scooter
Unvalidated,2022122200088,2022,122200088,1,90,Scooter - Electric Scooter
Unvalidated,2022122200531,2022,122200531,1,90,Scooter - Electric Scooter
Unvalidated,2022122200788,2022,122200788,1,90,Scooter - Electric Scooter
Unvalidated,2022122200867,2022,122200867,1,90,Scooter - Electric Scooter
Unvalidated,2022122200987,2022,122200987,1,90,Scooter - Electric Scooter
Unvalidated,2022471146695,2022,471146695,1,90,Scooter - Electric Scooter
Unvalidated,2022471148490,2022,471148490,2,90,Scooter - Electric Scooter
Unvalidated,2022471149023,2022,471149023,2,90,Scooter - Electric Scooter
Unvalidated,2022471160504,2022,471160504,1,90,Scooter - Electric Scooter
Unvalidated,2022471161870,2022,471161870,2,90,Scooter - Electric Scooter
Unvalidated,2022471164569,2022,471164569,2,90,Scooter - Electric Scooter
Unvalidated,2022471164682,2022,471164682,1,90,Scooter - Electric Scooter
Unvalidated,2022471179267,2022,471179267,2,90,Scooter - Electric Scooter
Unvalidated,2022471179970,2022,471179970,1,90,Scooter - Electric Scooter
Unvalidated,2022471180064,2022,471180064,1,90,Scooter - Electric Scooter
Unvalidated,2022471183390,2022,471183390,1,90,Scooter - Electric Scooter
Unvalidated,2022471183728,2022,471183728,1,90,Scooter - Electric Scooter
Unvalidated,2022471184093,2022,471184093,2,90,Scooter - Electric Scooter
Unvalidated,2022471184099,2022,471184099,1,90,Scooter - Electric Scooter
Unvalidated,2022471193937,2022,471193937,2,90,Scooter - Electric Scooter
Unvalidated,2022481225681,2022,481225681,2,90,Scooter - Electric Scooter
Unvalidated,2022501170395,2022,501170395,1,90,Scooter - Electric Scooter
Unvalidated,2022501171489,2022,501171489,1,90,Scooter - Electric Scooter
Unvalidated,2022501178074,2022,501178074,1,90,Scooter - Electric Scooter
Unvalidated,2022522201031,2022,522201031,2,90,Scooter - Electric Scooter
Unvalidated,2022522202030,2022,522202030,1,90,Scooter - Electric Scooter
Unvalidated,2022522202586,2022,522202586,2,90,Scooter - Electric Scooter
Unvalidated,2022531144974,2022,531144974,2,90,Scooter - Electric Scooter
Unvalidated,2022531162052,2022,531162052,1,90,Scooter - Electric Scooter
Unvalidated,2022531186861,2022,531186861,1,90,Scooter - Electric Scooter
Unvalidated,2022540807222,2022,540807222,1,90,Scooter - Electric Scooter
Unvalidated,2022541020422,2022,541020422,1,90,Scooter - Electric Scooter
Unvalidated,2022541470422,2022,541470422,1,90,Scooter - Electric Scooter
Unvalidated,2022543679522,2022,543679522,1,90,Scooter - Electric Scooter
Unvalidated,2022552200031,2022,552200031,1,90,Scooter - Electric Scooter
Unvalidated,2022552200382,2022,552200382,2,90,Scooter - Electric Scooter
Unvalidated,2022010352669,2022,010352669,2,90,Scooter - Electric Scooter
Unvalidated,2022010353131,2022,010353131,2,90,Scooter - Electric Scooter
Unvalidated,2022010353481,2022,010353481,2,90,Scooter - Electric Scooter
Unvalidated,2022010354027,2022,010354027,2,90,Scooter - Electric Scooter
Unvalidated,2022010354086,2022,010354086,2,90,Scooter - Electric Scooter
Unvalidated,2022141135455,2022,141135455,2,90,Scooter - Electric Scooter
Unvalidated,2022141135695,2022,141135695,1,90,Scooter - Electric Scooter
Unvalidated,2022141147847,2022,141147847,1,90,Scooter - Electric Scooter
Unvalidated,2022141150607,2022,141150607,2,90,Scooter - Electric Scooter
Unvalidated,2022141160127,2022,141160127,2,90,Scooter - Electric Scooter
Unvalidated,2022141161878,2022,141161878,2,90,Scooter - Electric Scooter
Unvalidated,2022141172028,2022,141172028,1,90,Scooter - Electric Scooter
Unvalidated,2022141175089,2022,141175089,1,90,Scooter - Electric Scooter
Unvalidated,2022141176678,2022,141176678,2,90,Scooter - Electric Scooter
Unvalidated,2022141183443,2022,141183443,1,90,Scooter - Electric Scooter
Unvalidated,2022141187221,2022,141187221,2,90,Scooter - Electric Scooter
Unvalidated,2022552200466,2022,552200466,1,90,Scooter - Electric Scooter
Unvalidated,2022552200484,2022,552200484,1,90,Scooter - Electric Scooter
Unvalidated,2022552200552,2022,552200552,1,90,Scooter - Electric Scooter
Unvalidated,2022552200630,2022,552200630,1,90,Scooter - Electric Scooter
Unvalidated,2022552200708,2022,552200708,2,90,Scooter - Electric Scooter
Unvalidated,2022552200855,2022,552200855,2,90,Scooter - Electric Scooter
Unvalidated,2022552200889,2022,552200889,1,90,Scooter - Electric Scooter
Unvalidated,2022552200961,2022,552200961,1,90,Scooter - Electric Scooter
Unvalidated,2022610002122,2022,610002122,2,90,Scooter - Electric Scooter
Unvalidated,2022610004822,2022,610004822,1,90,Scooter - Electric Scooter
Unvalidated,2022610025322,2022,610025322,1,90,Scooter - Electric Scooter
Unvalidated,2022610025622,2022,610025622,2,90,Scooter - Electric Scooter
Unvalidated,2022622200135,2022,622200135,2,90,Scooter - Electric Scooter
Unvalidated,2022622200164,2022,622200164,2,90,Scooter - Electric Scooter
Unvalidated,2022622200214,2022,622200214,1,90,Scooter - Electric Scooter
Unvalidated,2022622200221,2022,622200221,1,90,Scooter - Electric Scooter
Unvalidated,2022622200261,2022,622200261,1,90,Scooter - Electric Scooter
Unvalidated,2022622200317,2022,622200317,2,90,Scooter - Electric Scooter
Unvalidated,2022622200318,2022,622200318,2,90,Scooter - Electric Scooter
Unvalidated,2022622200377,2022,622200377,1,90,Scooter - Electric Scooter
Unvalidated,2022622200378,2022,622200378,2,90,Scooter - Electric Scooter
Unvalidated,2022622200441,2022,622200441,1,90,Scooter - Electric Scooter
Unvalidated,2022622200468,2022,622200468,2,90,Scooter - Electric Scooter
Unvalidated,2022622200484,2022,622200484,1,90,Scooter - Electric Scooter
Unvalidated,2022622200536,2022,622200536,1,90,Scooter - Electric Scooter
Unvalidated,202263A007822,2022,63A007822,1,90,Scooter - Electric Scooter
Unvalidated,202263A010222,2022,63A010222,2,90,Scooter - Electric Scooter
Unvalidated,2022991130755,2022,991130755,2,90,Scooter - Electric Scooter
Unvalidated,2022010354556,2022,010354556,2,90,Scooter - Electric Scooter
Unvalidated,2022010354683,2022,010354683,2,90,Scooter - Electric Scooter
Unvalidated,2022010354802,2022,010354802,2,90,Scooter - Electric Scooter
Unvalidated,2022010354945,2022,010354945,1,90,Scooter - Electric Scooter
Unvalidated,2022010355131,2022,010355131,2,90,Scooter - Electric Scooter
Unvalidated,2022010355336,2022,010355336,1,90,Scooter - Electric Scooter
Unvalidated,2022010355447,2022,010355447,1,90,Scooter - Electric Scooter
Unvalidated,2022010355460,2022,010355460,2,90,Scooter - Electric Scooter
Unvalidated,2022010355629,2022,010355629,2,90,Scooter - Electric Scooter
Unvalidated,2022010355825,2022,010355825,2,90,Scooter - Electric Scooter
Unvalidated,2022010355997,2022,010355997,2,90,Scooter - Electric Scooter
Unvalidated,2022010356132,2022,010356132,2,90,Scooter - Electric Scooter
Unvalidated,2022010356135,2022,010356135,2,90,Scooter - Electric Scooter
Unvalidated,2022010356311,2022,010356311,1,90,Scooter - Electric Scooter
Unvalidated,2022010356817,2022,010356817,1,90,Scooter - Electric Scooter
Unvalidated,2022010356989,2022,010356989,1,90,Scooter - Electric Scooter
Unvalidated,2022010357104,2022,010357104,2,90,Scooter - Electric Scooter
Unvalidated,2022010357192,2022,010357192,2,90,Scooter - Electric Scooter
Unvalidated,2022010357851,2022,010357851,1,90,Scooter - Electric Scooter
Unvalidated,2022010358023,2022,010358023,2,90,Scooter - Electric Scooter
Unvalidated,2022010358223,2022,010358223,2,90,Scooter - Electric Scooter
Unvalidated,2022010358257,2022,010358257,2,90,Scooter - Electric Scooter
Unvalidated,2022010358605,2022,010358605,1,90,Scooter - Electric Scooter
Unvalidated,2022010358826,2022,010358826,2,90,Scooter - Electric Scooter
Unvalidated,2022010359121,2022,010359121,1,90,Scooter - Electric Scooter
Unvalidated,2022010359306,2022,010359306,2,90,Scooter - Electric Scooter
Unvalidated,2022010359492,2022,010359492,2,90,Scooter - Electric Scooter
Unvalidated,2022010359549,2022,010359549,2,90,Scooter - Electric Scooter
Unvalidated,2022010359616,2022,010359616,2,90,Scooter - Electric Scooter
Unvalidated,2022010359706,2022,010359706,2,90,Scooter - Electric Scooter
Unvalidated,2022010359833,2022,010359833,2,90,Scooter - Electric Scooter
Unvalidated,2022010359909,2022,010359909,2,90,Scooter - Electric Scooter
Unvalidated,2022010360455,2022,010360455,2,90,Scooter - Electric Scooter
Unvalidated,2022010360511,2022,010360511,2,90,Scooter - Electric Scooter
Unvalidated,2022010360939,2022,010360939,2,90,Scooter - Electric Scooter
Unvalidated,2022010360955,2022,010360955,2,90,Scooter - Electric Scooter
Unvalidated,2022010360983,2022,010360983,2,90,Scooter - Electric Scooter
Unvalidated,2022010361176,2022,010361176,2,90,Scooter - Electric Scooter
Unvalidated,2022010361306,2022,010361306,2,90,Scooter - Electric Scooter
Unvalidated,2022010361404,2022,010361404,1,90,Scooter - Electric Scooter
Unvalidated,2022010361472,2022,010361472,1,90,Scooter - Electric Scooter
Unvalidated,2022161138174,2022,161138174,2,90,Scooter - Electric Scooter
Unvalidated,2022161142103,2022,161142103,2,90,Scooter - Electric Scooter
Unvalidated,2022161155392,2022,161155392,2,90,Scooter - Electric Scooter
Unvalidated,2022161157578,2022,161157578,1,90,Scooter - Electric Scooter
Unvalidated,2022161161448,2022,161161448,2,90,Scooter - Electric Scooter
Unvalidated,2022161175107,2022,161175107,2,90,Scooter - Electric Scooter
Unvalidated,2022161191483,2022,161191483,1,90,Scooter - Electric Scooter
Unvalidated,2022161226774,2022,161226774,1,90,Scooter - Electric Scooter
Unvalidated,2022170S10692,2022,170S10692,2,90,Scooter - Electric Scooter
Unvalidated,2022201144395,2022,201144395,1,90,Scooter - Electric Scooter
Unvalidated,2022201146665,2022,201146665,1,90,Scooter - Electric Scooter
Unvalidated,2022201146840,2022,201146840,1,90,Scooter - Electric Scooter
Unvalidated,2022201151357,2022,201151357,2,90,Scooter - Electric Scooter
Unvalidated,2022201152553,2022,201152553,1,90,Scooter - Electric Scooter
Unvalidated,2022201152719,2022,201152719,1,90,Scooter - Electric Scooter
Unvalidated,2022201161361,2022,201161361,1,90,Scooter - Electric Scooter
Unvalidated,2022201161538,2022,201161538,1,90,Scooter - Electric Scooter
Unvalidated,2022201161549,2022,201161549,1,90,Scooter - Electric Scooter
Unvalidated,2022201168932,2022,201168932,1,90,Scooter - Electric Scooter
Unvalidated,2022201169014,2022,201169014,2,90,Scooter - Electric Scooter
Unvalidated,2022201179034,2022,201179034,1,90,Scooter - Electric Scooter
Unvalidated,2022201187929,2022,201187929,2,90,Scooter - Electric Scooter
Unvalidated,2022201195492,2022,201195492,2,90,Scooter - Electric Scooter
Unvalidated,2022201195517,2022,201195517,2,90,Scooter - Electric Scooter
Unvalidated,2022201196392,2022,201196392,1,90,Scooter - Electric Scooter
Unvalidated,2022201197565,2022,201197565,1,90,Scooter - Electric Scooter
Unvalidated,2022201197645,2022,201197645,1,90,Scooter - Electric Scooter
Unvalidated,2022201197992,2022,201197992,2,90,Scooter - Electric Scooter
Unvalidated,2022201199761,2022,201199761,1,90,Scooter - Electric Scooter
Unvalidated,2022201213864,2022,201213864,1,90,Scooter - Electric Scooter
Unvalidated,2022991184249,2022,991184249,2,90,Scooter - Electric Scooter
Unvalidated,2022991187423,2022,991187423,1,90,Scooter - Electric Scooter
Unvalidated,2022991192216,2022,991192216,1,90,Scooter - Electric Scooter
Unvalidated,2022010361764,2022,010361764,1,90,Scooter - Electric Scooter
Unvalidated,2022010361879,2022,010361879,1,90,Scooter - Electric Scooter
Unvalidated,2022010361973,2022,010361973,3,90,Scooter - Electric Scooter
Unvalidated,2022010362009,2022,010362009,2,90,Scooter - Electric Scooter
Unvalidated,2022010362139,2022,010362139,1,90,Scooter - Electric Scooter
Unvalidated,2022010362165,2022,010362165,2,90,Scooter - Electric Scooter
Unvalidated,2022010362633,2022,010362633,2,90,Scooter - Electric Scooter
Unvalidated,2022010362811,2022,010362811,2,90,Scooter - Electric Scooter
Unvalidated,2022010363001,2022,010363001,2,90,Scooter - Electric Scooter
Unvalidated,2022010363321,2022,010363321,2,90,Scooter - Electric Scooter
Unvalidated,2022010363380,2022,010363380,1,90,Scooter - Electric Scooter
Unvalidated,2022010363428,2022,010363428,1,90,Scooter - Electric Scooter
Unvalidated,2022010363795,2022,010363795,1,90,Scooter - Electric Scooter
Unvalidated,2022010363849,2022,010363849,1,90,Scooter - Electric Scooter
Unvalidated,2022010364384,2022,010364384,1,90,Scooter - Electric Scooter
Unvalidated,2022010364477,2022,010364477,2,90,Scooter - Electric Scooter
Unvalidated,2022010364669,2022,010364669,1,90,Scooter - Electric Scooter
Unvalidated,2022010365012,2022,010365012,2,90,Scooter - Electric Scooter
Unvalidated,2022010365162,2022,010365162,1,90,Scooter - Electric Scooter
Unvalidated,2022010365467,2022,010365467,2,90,Scooter - Electric Scooter
Unvalidated,2022010365534,2022,010365534,1,90,Scooter - Electric Scooter
Unvalidated,2022010366158,2022,010366158,2,90,Scooter - Electric Scooter
Unvalidated,2022010366277,2022,010366277,2,90,Scooter - Electric Scooter
Unvalidated,2022010366336,2022,010366336,1,90,Scooter - Electric Scooter
Unvalidated,2022010366572,2022,010366572,1,90,Scooter - Electric Scooter
Unvalidated,2022010366641,2022,010366641,2,90,Scooter - Electric Scooter
Unvalidated,2022010367125,2022,010367125,2,90,Scooter - Electric Scooter
Unvalidated,2022010367133,2022,010367133,2,90,Scooter - Electric Scooter
Unvalidated,2022010367180,2022,010367180,1,90,Scooter - Electric Scooter
Unvalidated,2022010367185,2022,010367185,1,90,Scooter - Electric Scooter
Unvalidated,2022010367303,2022,010367303,1,90,Scooter - Electric Scooter
Unvalidated,2022010367442,2022,010367442,2,90,Scooter - Electric Scooter
Unvalidated,2022010367467,2022,010367467,2,90,Scooter - Electric Scooter
Unvalidated,2022010367523,2022,010367523,1,90,Scooter - Electric Scooter
Unvalidated,2022010367589,2022,010367589,2,90,Scooter - Electric Scooter
Unvalidated,2022010367836,2022,010367836,2,90,Scooter - Electric Scooter
Unvalidated,2022010367837,2022,010367837,1,90,Scooter - Electric Scooter
Unvalidated,2022010367858,2022,010367858,2,90,Scooter - Electric Scooter
Unvalidated,2022010367940,2022,010367940,2,90,Scooter - Electric Scooter
Unvalidated,2022010368020,2022,010368020,2,90,Scooter - Electric Scooter
Unvalidated,2022010368065,2022,010368065,2,90,Scooter - Electric Scooter
Unvalidated,2022010368204,2022,010368204,2,90,Scooter - Electric Scooter
Unvalidated,2022010368408,2022,010368408,1,90,Scooter - Electric Scooter
Unvalidated,2022010368669,2022,010368669,1,90,Scooter - Electric Scooter
Unvalidated,2022201216559,2022,201216559,1,90,Scooter - Electric Scooter
Unvalidated,2022201219184,2022,201219184,2,90,Scooter - Electric Scooter
Unvalidated,2022201219565,2022,201219565,2,90,Scooter - Electric Scooter
Unvalidated,2022201227130,2022,201227130,1,90,Scooter - Electric Scooter
Unvalidated,2022211170221,2022,211170221,2,90,Scooter - Electric Scooter
Unvalidated,2022221130459,2022,221130459,1,90,Scooter - Electric Scooter
Unvalidated,2022221131772,2022,221131772,1,90,Scooter - Electric Scooter
Unvalidated,2022221173288,2022,221173288,1,90,Scooter - Electric Scooter
Unvalidated,2022221189099,2022,221189099,2,90,Scooter - Electric Scooter
Unvalidated,2022221191067,2022,221191067,1,90,Scooter - Electric Scooter
Unvalidated,2022221198887,2022,221198887,1,90,Scooter - Electric Scooter
Unvalidated,2022231131997,2022,231131997,1,90,Scooter - Electric Scooter
Unvalidated,2022231170147,2022,231170147,1,90,Scooter - Electric Scooter
Unvalidated,2022231173115,2022,231173115,2,90,Scooter - Electric Scooter
Unvalidated,2022231180253,2022,231180253,1,90,Scooter - Electric Scooter
Unvalidated,2022231183527,2022,231183527,1,90,Scooter - Electric Scooter
Unvalidated,2022302200030,2022,302200030,1,90,Scooter - Electric Scooter
Unvalidated,2022302200511,2022,302200511,2,90,Scooter - Electric Scooter
Unvalidated,2022302200609,2022,302200609,1,90,Scooter - Electric Scooter
Unvalidated,2022302200748,2022,302200748,2,90,Scooter - Electric Scooter
Unvalidated,2022302200889,2022,302200889,1,90,Scooter - Electric Scooter
Unvalidated,2022302200958,2022,302200958,2,90,Scooter - Electric Scooter
Unvalidated,2022302200967,2022,302200967,2,90,Scooter - Electric Scooter
Unvalidated,2022302201026,2022,302201026,2,90,Scooter - Electric Scooter
Unvalidated,2022302201046,2022,302201046,2,90,Scooter - Electric Scooter
Unvalidated,2022311134398,2022,311134398,1,90,Scooter - Electric Scooter
Unvalidated,2022311134429,2022,311134429,1,90,Scooter - Electric Scooter
Unvalidated,2022311134611,2022,311134611,2,90,Scooter - Electric Scooter
Unvalidated,2022311145368,2022,311145368,1,90,Scooter - Electric Scooter
Unvalidated,2022311146165,2022,311146165,2,90,Scooter - Electric Scooter
Unvalidated,2022311147829,2022,311147829,1,90,Scooter - Electric Scooter
Unvalidated,2022311148653,2022,311148653,1,90,Scooter - Electric Scooter
Unvalidated,2022311150717,2022,311150717,1,90,Scooter - Electric Scooter
Unvalidated,2022311151064,2022,311151064,2,90,Scooter - Electric Scooter
Unvalidated,2022311151383,2022,311151383,2,90,Scooter - Electric Scooter
Unvalidated,2022311152799,2022,311152799,2,90,Scooter - Electric Scooter
Unvalidated,2022311152991,2022,311152991,2,90,Scooter - Electric Scooter
Unvalidated,2022311153461,2022,311153461,1,90,Scooter - Electric Scooter
Unvalidated,2022311155919,2022,311155919,1,90,Scooter - Electric Scooter
Unvalidated,2022311160586,2022,311160586,2,90,Scooter - Electric Scooter
Unvalidated,2022311163209,2022,311163209,1,90,Scooter - Electric Scooter
Unvalidated,2022311168205,2022,311168205,2,90,Scooter - Electric Scooter
Unvalidated,2022311169917,2022,311169917,2,90,Scooter - Electric Scooter
Unvalidated,2022311170078,2022,311170078,2,90,Scooter - Electric Scooter
Unvalidated,2022311170876,2022,311170876,1,90,Scooter - Electric Scooter
Unvalidated,2022311172687,2022,311172687,1,90,Scooter - Electric Scooter
Unvalidated,2022311173857,2022,311173857,2,90,Scooter - Electric Scooter
Unvalidated,2022010369068,2022,010369068,1,90,Scooter - Electric Scooter
Unvalidated,2022010369391,2022,010369391,2,90,Scooter - Electric Scooter
Unvalidated,2022010369607,2022,010369607,2,90,Scooter - Electric Scooter
Unvalidated,2022010369708,2022,010369708,2,90,Scooter - Electric Scooter
Unvalidated,2022010369991,2022,010369991,2,90,Scooter - Electric Scooter
Unvalidated,2022010370244,2022,010370244,2,90,Scooter - Electric Scooter
Unvalidated,2022010370551,2022,010370551,2,90,Scooter - Electric Scooter
Unvalidated,2022010370621,2022,010370621,2,90,Scooter - Electric Scooter
Unvalidated,2022010370812,2022,010370812,1,90,Scooter - Electric Scooter
Unvalidated,2022010370856,2022,010370856,2,90,Scooter - Electric Scooter
Unvalidated,2022010370865,2022,010370865,2,90,Scooter - Electric Scooter
Unvalidated,2022010370912,2022,010370912,1,90,Scooter - Electric Scooter
Unvalidated,2022010371000,2022,010371000,1,90,Scooter - Electric Scooter
Unvalidated,2022010371391,2022,010371391,2,90,Scooter - Electric Scooter
Unvalidated,2022010371392,2022,010371392,1,90,Scooter - Electric Scooter
Unvalidated,2022010371500,2022,010371500,2,90,Scooter - Electric Scooter
Unvalidated,2022010371692,2022,010371692,2,90,Scooter - Electric Scooter
Unvalidated,2022010371697,2022,010371697,1,90,Scooter - Electric Scooter
Unvalidated,2022010371831,2022,010371831,2,90,Scooter - Electric Scooter
Unvalidated,2022010371997,2022,010371997,2,90,Scooter - Electric Scooter
Unvalidated,2022010372251,2022,010372251,1,90,Scooter - Electric Scooter
Unvalidated,2022010372333,2022,010372333,1,90,Scooter - Electric Scooter
Unvalidated,2022010372393,2022,010372393,1,90,Scooter - Electric Scooter
Unvalidated,2022010372947,2022,010372947,1,90,Scooter - Electric Scooter
Unvalidated,2022010373084,2022,010373084,1,90,Scooter - Electric Scooter
Unvalidated,2022010373268,2022,010373268,2,90,Scooter - Electric Scooter
Unvalidated,2022010373338,2022,010373338,2,90,Scooter - Electric Scooter
Unvalidated,2022010373423,2022,010373423,2,90,Scooter - Electric Scooter
